pernos,initials,sex,address,postcode,mobNumber,homeNumber,workNumber,marketing,goneAway,value
0,EQ,0,"386 Roberts village, Lake Frank, E0 5HH",E0 5HH,+441614960641,+44118 4960103,(0191) 496 0078,yes,0,167496.91905637548
1,SX,2,"Studio 7, Nathan bridge, Leahborough, SM5 6JJ",SM5 6JJ,+44114 4960953,01914960364,0808 157 0835,no,0,710.0
2,EK,0,"1 Godfrey landing, East Graemechester, BR0H 1WW",BR0H 1WW,+44909 8790395,0117 496 0035,+449098790906,no,0,30415.92921172465
3,NK,2,"3 Walker bypass, Jacquelinetown, W5 9UA",W5 9UA,+441154960695,+4420 7496 0110,0161 4960653,yes,0,710.0
4,XU,2,"9 Douglas skyway, Batesstad, RG1E 4HA",RG1E 4HA,01184960127,+4420 74960043,+44(0)289018096,yes,0,22489.861083142565
5,BY,1,"855 Heather rue, Hillton, L2 4WL",L2 4WL,(0121)4960887,+441632 960638,(0141) 496 0718,no,1,31773.802834785598
6,SN,0,"Studio 9, June port, North David, N4B 7WP",N4B 7WP,+44(0)289018264,(0131)4960003,0114 4960684,yes,0,31531.07986873409
7,DD,0,"Studio 56O, Begum port, Webbborough, G6B 5BJ",G6B 5BJ,(0808) 1570884,+442074960348,0121 496 0113,no,0,141988.1178267793
8,ZD,2,"546 Lane crest, Lake Raymondburgh, G3 9QJ",G3 9QJ,01314960749,+441614960041,+44116 4960935,yes,0,710.0
9,SX,1,"71 Christian fords, New Chelseaside, RG16 4EN",RG16 4EN,+44(0)121 4960044,+44151 496 0561,0115 4960975,no,0,31219.827475947517
10,PM,1,"Studio 61F, Edwards green, West Joel, WN7B 5TR",WN7B 5TR,+44121 4960523,01414960282,(0808) 1570705,no,0,29297.424975678703
11,AO,0,"88 Jones station, Ellieport, BH7A 6AJ",BH7A 6AJ,+44(0)161 496 0600,0117 496 0552,0161 496 0281,yes,0,39320.909506563294
12,PV,1,"1 Bull junction, Lloydview, SM56 4WH",SM56 4WH,+4428 9018389,(0113) 496 0855,+4428 9018 0766,no,1,239315.33358906073
